OBJECTID,REGION_NAM,ROUTE_NAME,ROUTE_CODE,SHAPE_Leng,SHAPE_Area
1,Eastern,North and East,HF,117142.111857480849721,177763376.044061303138733
2,North West & Central,LNW South,HS,1051595.465380732901394,11902899667.579946517944336
3,Wales & Western,Western,HD,2446692.290189331397414,22161729573.037078857421875
4,North West & Central,LNW North,HR,1741572.283296936424449,15695476064.631700515747070
5,Southern,Wessex,HW,1104387.238677834393457,10714073308.587993621826172
6,Southern,Wessex,HW,168612.092910423933063,380768233.334097564220428
7,Wales & Western,Wales,HC,2309119.958563536871225,25730844069.184143066406250
8,Eastern,East Midlands,HM,1194574.947966126492247,13544926107.464494705200195
9,Eastern,East Coast,HE,1606330.443636874668300,5715865527.357659339904785
10,Scotland,Scotland,HL,5866008.006014556623995,68482521790.642478942871094
11,Southern,Sussex,HU,499252.639494586677756,3826487949.415874004364014
12,Eastern,Anglia,HT,1870996.060251547256485,16626119057.450357437133789
13,Southern,Channel Tunnel Rail Link,QQ,231938.299292388284812,2024039.711691885022447
14,Southern,Kent,HK,869284.033640570007265,4640992883.005250930786133
15,Eastern,North and East,HF,1578781.359997826628387,13912477841.075744628906250
16,Eastern,North and East,HF,537197.650394452386536,6185441386.867532730102539
